80185,80373 
80927,82664 
103706,105076 
103780,105130 
149572,149762 
154115,154186 
154168,154239 
177055,177175 
177169,177451 
197824,198205 
309030,309532 
309899,310101 
332699,333610 
333511,333734 
335829,336275 
335417,336379 
336566,336788 
338214,338450 
338298,338537 
338201,339142 
339373,339875 
366867,367146 
368076,368602 
369390,369805 
370548,370963 
371821,372375 
372246,372525 
374567,374856 
374504,375058 
374593,375119 
400152,401701 
428385,428757 
428368,428760 
429620,429909 
424012,429920 
429766,430167 
429648,430190 
429662,430194 
431159,431541 
431025,431567 
432541,432929 
432401,432933 
460808,461483 
473744,474099 
475810,476177 
562307,562394 
569821,569922 
569877,569978 
577286,577438 
577344,577496 
580577,580737 
580654,580814 
606511,608060 
675486,675612 
675492,675653 
686110,686491 
798824,799109 
832045,832356 
838771,838896 
838486,838926 
840739,841665 
842020,842331 
889020,890375 
889021,891461 
908181,909346 
917611,917677 
917669,917735 
921744,921892 
921580,921893 
925280,925404 
960167,960270 
960213,960323 
960228,960324 
960175,960325 
960220,960327 
964605,964965 
964770,965086 
1093336,1093666 
1093422,1093866 
1093841,1094592 
1095120,1095317 
1095175,1095393 
1095088,1095413 
1095372,1095566 
1095301,1095739 
1095936,1096687 
1095821,1096692 
1160544,1161151 
1160539,1161165 
1160546,1161167 
1164572,1165549 
1169297,1170206 
1169298,1170733 
1189340,1189539 
1190000,1190120 
1189730,1190175 
1191259,1191467 
1191724,1191882 
1191454,1191899 
1211532,1212158 
1216792,1217061 
1216441,1217067 
1275925,1276053 
1276293,1277797 
1277843,1278820 
1287355,1288094 
1305495,1305599 
1305557,1305661 
1339350,1340433 
1340642,1341288 
1340495,1341292 
1341296,1342730 
1357423,1357613 
1441366,1441638 
1441519,1441791 
1451779,1451994 
1451836,1451995 
1451778,1451998 
1468166,1469616 
1479356,1480072 
1481030,1481746 
1532540,1533653 
1541949,1543307 
1541952,1543318 
1633311,1633538 
1633531,1634790 
1636706,1636933 
1637133,1638392 
1644263,1644365 
1702677,1702843 
1702707,1702849 
1773962,1774031 
1774037,1774106 
1779809,1780054 
1779984,1780311 
1780241,1780580 
1780641,1782817 
1785877,1786318 
1788514,1789865 
1814895,1815098 
1814853,1815128 
1876112,1876668 
