sample.id	duplicates_num	it_self_and_mate_num	mapped_num	mapped_pct	paried_in_seq_num	properly_paried_num	properly_paried_pct	read_1_num	read_2_num	singletons_num	singletons_pct	total_reads_num
99b8c72f-8c81-483a-a9f5-9420e6503a0a	222883	16853478	16910645	99.1	17060388	16514376	96.8	8530194	8530194	57167	0.3	17060388
9afb8011-7c8b-4c53-9afc-f0eaf13f8543	85256	4127828	4164611	94.8	4393212	4006474	91.1	2196606	2196606	36783	0.8	4393212
9b8f737b-4c29-4888-a297-08c655831663	51121	4241836	4245661	99.5	4263874	4066466	95.3	2131937	2131937	3825	0.0	4263874
9bbf309f-ef38-4df7-9cce-47e1fceef4be	10798	2343960	2348303	99.5	2358102	2288346	97.0	1179051	1179051	4343	0.1	2358102
9c8411bd-6d1f-4fd6-b6e9-ada311ea2362	77288	8824872	8853445	99.2	8919440	8596054	96.3	4459720	4459720	28573	0.3	8919440
9d7f31ef-cc2b-4f04-ac05-17c1375d29b1	66452	5274538	5280572	99.4	5307826	5055698	95.2	2653913	2653913	6034	0.1	5307826
9d995a98-e194-499d-afa8-aa3d4689126d	24169	2295082	2297958	99.1	2318326	2219762	95.7	1159163	1159163	2876	0.1	2318326
a18f0544-9c63-49db-915d-82b1e0138988	19410	2756110	2761961	99.4	2776478	2698858	97.1	1388239	1388239	5851	0.2	2776478
a2472c63-f626-48fc-9bca-69b37cf6c192	54915	6734446	6811330	98.3	6925758	6570014	94.8	3462879	3462879	76884	1.1	6925758
a553cc1f-6043-4532-9737-957e585766bd	95923	8879640	8898411	96.0	9267236	8526068	92.0	4633618	4633618	18771	0.2	9267236
b6cdd2ae-32c1-4e41-8bef-d5c16f5825ff	29435	3836756	3848390	99.3	3875182	3735976	96.4	1937591	1937591	11634	0.3	3875182
c2dd6f42-dd6a-4057-acbb-3093081827a5	39395	3526616	3530806	99.4	3550788	3422504	96.3	1775394	1775394	4190	0.1	3550788
c4e3dc55-ad84-47f9-9cf6-7920762447f7	11861	2243594	2247966	99.5	2258236	2197272	97.3	1129118	1129118	4372	0.1	2258236
cfc04a4d-8093-4a64-8622-20b644fd7515	143155	9466930	9518304	98.5	9658980	8583486	88.8	4829490	4829490	51374	0.5	9658980
d296b714-90b3-4f60-80b2-ad2a6899635e	16073	1508568	1514928	99.1	1527846	1448748	94.8	763923	763923	6360	0.4	1527846
d8eaaf36-64d7-421d-9fbf-c14761a6df43	119965	7868820	7878286	99.5	7915418	7386456	93.3	3957709	3957709	9466	0.1	7915418
e0ec681e-ea2b-4605-9bfa-d03b3b61c9a4	112157	4268508	4289158	99.0	4331034	4086780	94.3	2165517	2165517	20650	0.4	4331034
e6570a8f-7dc6-4b6c-8525-4e5592992be0	4476	1492120	1498280	99.0	1512368	1427562	94.3	756184	756184	6160	0.4	1512368
e6d74a7d-d334-4875-8ea2-8b542293a67e	237291	14055474	14118532	98.7	14303438	13342832	93.2	7151719	7151719	63058	0.4	14303438
ea4faddb-5496-48fa-8883-4faa3c60277c	265814	18407764	18471593	98.9	18664854	18017088	96.5	9332427	9332427	63829	0.3	18664854
ea9943e7-da56-45ed-9021-edaf97d0c4a7	40573	2467560	2471415	99.4	2484810	2337312	94.0	1242405	1242405	3855	0.1	2484810
f269bf4e-6435-48bd-87e5-8ee50ec897a3	30039	2102798	2120585	98.2	2158402	2066898	95.7	1079201	1079201	17787	0.8	2158402
f88a20e4-bd7c-4e26-947c-b573e778e719	433162	17420478	17444539	99.4	17541646	16603322	94.6	8770823	8770823	24061	0.1	17541646
fc3e4edc-a8f2-4c08-a80f-0edc98d88a92	21473	3359708	3365603	99.5	3379986	3272270	96.8	1689993	1689993	5895	0.1	3379986
fdc88622-6d99-447d-8428-cfbd0fa32ee4	52795	5431448	5454449	98.8	5519700	5249088	95.0	2759850	2759850	23001	0.4	5519700
fe1fa2c1-38f3-42d1-ae16-8e800de67f44	12040	2337208	2339566	99.6	2346916	2274490	96.9	1173458	1173458	2358	0.1	2346916
ffe4aa58-6637-438a-8d8a-6cf854fc2fb1	14573	2853606	2858414	99.5	2871028	2779100	96.8	1435514	1435514	4808	0.1	2871028
